Subject,Image,NSED,SLJ
Sub116,NH18,High,1
Sub116,NH19,High,0
Sub116,NH20,High,1
Sub117,NL01,Low,0
Sub117,NL02,Low,0
Sub117,NL03,Low,0
Sub117,NL04,Low,0
Sub117,NL05,Low,0
Sub117,NL06,Low,0
Sub117,NL07,Low,0
Sub117,NL08,Low,0
Sub117,NL09,Low,0
Sub117,NL10,Low,0
Sub117,NL11,Low,1
Sub117,NL12,Low,0
Sub117,NL13,Low,0
Sub117,NL14,Low,0
Sub117,NL15,Low,1
Sub117,NL16,Low,0
Sub117,NL17,Low,0
Sub117,NL18,Low,0
Sub117,NL19,Low,0
Sub117,NL20,Low,0
Sub117,NH01,High,0
Sub117,NH02,High,0
Sub117,NH03,High,0
Sub117,NH04,High,0
Sub117,NH05,High,0
Sub117,NH06,High,0
Sub117,NH07,High,0
Sub117,NH08,High,0
Sub117,NH09,High,1
Sub117,NH10,High,0
Sub117,NH11,High,0
Sub117,NH12,High,0
Sub117,NH13,High,0
Sub117,NH14,High,0
Sub117,NH15,High,0
Sub117,NH16,High,0
Sub117,NH17,High,0
Sub117,NH18,High,0
Sub117,NH19,High,0
Sub117,NH20,High,1
Sub118,NL01,Low,0
Sub118,NL02,Low,0
Sub118,NL03,Low,0
Sub118,NL04,Low,0
Sub118,NL05,Low,0
Sub118,NL06,Low,0
Sub118,NL07,Low,0
Sub118,NL08,Low,0
Sub118,NL09,Low,0
Sub118,NL10,Low,0
Sub118,NL11,Low,0
Sub118,NL12,Low,0
Sub118,NL13,Low,0
Sub118,NL14,Low,0
Sub118,NL15,Low,0
Sub118,NL16,Low,0
Sub118,NL17,Low,0
Sub118,NL18,Low,1
Sub118,NL19,Low,0
Sub118,NL20,Low,0
Sub118,NH01,High,0
Sub118,NH02,High,0
Sub118,NH03,High,0
Sub118,NH04,High,0
Sub118,NH05,High,0
Sub118,NH06,High,0
Sub118,NH07,High,0
Sub118,NH08,High,0
Sub118,NH09,High,1
Sub118,NH10,High,0
Sub118,NH11,High,0
Sub118,NH12,High,0
Sub118,NH13,High,0
Sub118,NH14,High,0
Sub118,NH15,High,0
Sub118,NH16,High,0
Sub118,NH17,High,0
Sub118,NH18,High,0
Sub118,NH19,High,0
Sub118,NH20,High,0
Sub119,NL01,Low,1
Sub119,NL02,Low,0
Sub119,NL03,Low,0
Sub119,NL04,Low,0
Sub119,NL05,Low,0
Sub119,NL06,Low,0
Sub119,NL07,Low,0
Sub119,NL08,Low,0
Sub119,NL09,Low,1
Sub119,NL10,Low,1
Sub119,NL11,Low,0
Sub119,NL12,Low,0
Sub119,NL13,Low,0
Sub119,NL14,Low,0
Sub119,NL15,Low,1
Sub119,NL16,Low,0
Sub119,NL17,Low,0
Sub119,NL18,Low,0
Sub119,NL19,Low,0
Sub119,NL20,Low,0
Sub119,NH01,High,0
